0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,label
0,3,2,3,0,0,2,1,0,13,3,6,0,8,1,7,0,4,1,2,0,11,2,9,6,6,108
0,0,2,1,0,13,3,6,0,8,1,7,0,4,1,2,0,11,2,9,0,11,2,9,7,7,101
0,13,3,6,0,8,1,7,0,4,1,2,0,11,2,9,0,11,2,9,0,4,1,2,8,8,-1
0,3,2,3,0,8,1,7,0,0,2,1,0,12,3,7,0,14,1,8,0,13,3,6,6,6,100
0,8,1,7,0,0,2,1,0,12,3,7,0,14,1,8,0,13,3,6,0,3,2,3,7,7,-1
0,3,2,3,0,14,1,8,0,11,2,9,0,15,1,9,0,7,2,6,0,8,1,7,6,6,110
0,14,1,8,0,11,2,9,0,15,1,9,0,7,2,6,0,8,1,7,0,13,3,6,7,7,-1
0,3,2,3,0,14,1,8,0,11,2,9,0,15,1,9,0,7,2,6,0,8,1,7,6,6,110
0,14,1,8,0,11,2,9,0,15,1,9,0,7,2,6,0,8,1,7,0,13,3,6,7,7,115
0,11,2,9,0,15,1,9,0,7,2,6,0,8,1,7,0,13,3,6,0,18,2,2,8,8,-1
0,4,1,2,0,8,1,7,0,13,3,6,0,18,2,2,0,19,1,4,0,4,1,2,6,6,105
0,8,1,7,0,13,3,6,0,18,2,2,0,19,1,4,0,4,1,2,0,8,1,7,7,7,110
0,13,3,6,0,18,2,2,0,19,1,4,0,4,1,2,0,8,1,7,0,13,3,6,8,8,-1
0,4,1,2,0,23,3,2,0,19,1,4,0,17,1,3,0,4,1,2,0,12,3,7,6,6,101
0,23,3,2,0,19,1,4,0,17,1,3,0,4,1,2,0,12,3,7,0,4,1,2,7,7,-1
0,5,2,4,0,4,1,2,0,17,1,3,0,17,1,3,0,0,2,1,0,17,1,3,6,6,105
0,4,1,2,0,17,1,3,0,17,1,3,0,0,2,1,0,17,1,3,0,8,1,7,7,7,-1
0,5,2,4,0,8,1,7,0,17,1,3,0,4,1,2,0,1,3,5,0,8,1,7,6,6,114
0,8,1,7,0,17,1,3,0,4,1,2,0,1,3,5,0,8,1,7,0,17,1,3,7,7,100
0,17,1,3,0,4,1,2,0,1,3,5,0,8,1,7,0,17,1,3,0,3,2,3,8,8,-1
0,5,2,4,0,8,1,7,0,18,2,2,0,7,2,6,0,8,1,7,0,13,3,6,6,6,103
0,8,1,7,0,18,2,2,0,7,2,6,0,8,1,7,0,13,3,6,0,6,2,5,7,7,-1
0,5,2,4,0,11,2,9,0,14,1,8,0,17,1,3,0,8,1,7,0,3,2,3,6,6,97
0,11,2,9,0,14,1,8,0,17,1,3,0,8,1,7,0,3,2,3,0,0,2,1,7,7,-1
0,5,2,4,0,14,1,8,0,14,1,8,0,19,1,4,0,1,3,5,0,0,2,1,6,6,108
0,14,1,8,0,14,1,8,0,19,1,4,0,1,3,5,0,0,2,1,0,11,2,9,7,7,108
0,14,1,8,0,19,1,4,0,1,3,5,0,0,2,1,0,11,2,9,0,11,2,9,8,8,-1
